Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
10789,Lesser Goldfinch,LEGO,Spinus psaltria,"San Marcos Foothills, Central",8-Jun-21,"Holmgren, M.",Family Group in Close Association, , ,"family of 4 in chase, adult holding food", ,34.45634,-119.7592,5,102.3,,ID3830,-13331533.16,4090243.1749038203
10790,American Kestrel,AMKE,Falco sparverius,"San Marcos Foothills, Central",10-Jun-21,"Mulroy, M.",Fledgling out of Nest--Brancher,power pole,25,"Observed two nestling kestrels on top of wooden power line pole. Saw them enter cavity on the top of the pole twice when an adult red-tailed hawk flew near. One could have possibly been fledged, but the other seemed too small.",Atascadero Ck,34.46109,-119.76075,3,123.3,https://tinyurl.com/2b6k2way,ID3831,-13331705.71,4090884.467458112
10791,Phainopepla,PHAI,Phainopepla nitens,"San Marcos Foothills, East",10-Jun-21,"Mulroy, M.",Nest Building,Coast Live Oak,5,"Saw male phainopepla deliver nest material to location on coast live oak tree twice, with female nearby.","Nest building looked like it was just beginning, only saw a couple of clumps of nest material (possibly sheep wool).",34.46099,-119.75913,5,154.8,,ID3833,-13331525.37,4090870.9661862715
10792,Ash-throated Flycatcher,ATFL,Myiarchus cinerascens,"San Marcos Foothills, East",10-Jun-21,"Mulroy, M.",Carrying Food, , ,"Foraging AtFl carried food from east mesa grassland over to oak grassland area, but lost it among the oaks.","coordinates refer to approximate area where I saw it fly, presumably nest location.",34.46274,-119.75774,50,162,,ID3834,-13331370.64,4091107.2407783293
10833,Hutton's Vireo,HUVI,Vireo huttoni,"San Marcos Foothills, Atascadero Ck",10-Jun-21,"Mulroy, M.",Adult at Nest (clarify),Coast Live Oak,3,Observed a Hutton's vireo fly onto nest. A couple hours later observed HUVI sitting on nest.,young tree,34.45976,-119.76121,5,100.1,https://tinyurl.com/u3ecp44p,ID3832,-13331756.91,4090704.901865359
11146,Scaly-breasted Munia,SBMU,Lonchura punctulata,"San Marcos Foothills, Central",17-Sep-21,"Lewis, J.",Carrying Nesting Material,,,"Two birds observed, one carrying a long piece of grass from an open area near the trail to an unseen destination under nearby oak trees.",,34.46212,-119.76245,10,114.9,,ID4216,-13331894.95,4091023.5314991977
11169,Wrentit,WREN,Chamaea fasciata,"San Marcos Foothills, Cieneguitas Ck",20-Feb-22,"Roberts, M.",Carrying Nesting Material, , ,Pair was gathering nesting materials., ,34.4608,-119.75337,10,112.3, https://tinyurl.com/msypbp59,ID4240,-13330884.17,4090845.313814326
11170,California Scrub-Jay,CASJ,Aphelocoma californica,"San Marcos Foothills, Cieneguitas Ck",20-Feb-22,"Roberts, M.",Carrying Nesting Material, , ,carrying nesting material, ,34.45879,-119.75409,5,103.4, https://tinyurl.com/yc85ffsr,ID4241,-13330964.32,4090573.942297041
11177,American Kestrel,AMKE,Falco sparverius,San Marcos Foothills Preserve,27-Feb-22,"Reed, K.",Copulation, , ,"Male flew in to where female was perched. The two appeared to copulate (see attached photo). We had several looks at them over the next 45 minutes or so, remaining perched on the same tree.", ,34.46292,-119.75742,50,169.6, https://tinyurl.com/3n45wyvz,ID4249,-13331335.01,4091131.5435887175
11326,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",14-Apr-22,"Holmgren, M.",Adult at Nest (clarify),Coast Live Oak,45,Adult on nest,At tip-top of Coast Live Oak without much shade over the Atascadero Creek entrance to the preserve. Same nest as in Record 10767 from 2021.,34.45889,-119.76051,20,100, ,ID4317,-13331678.99,4090587.443213126
11327,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",14-Apr-22,"Holmgren, M.",Adult at Nest (clarify),Eucalyptus,15,"2 adults at nest, one flew off.","Immediately north of SMFP. Dead tree, no shade over nest",34.46538,-119.76119,20,161, ,ID4318,-13331754.69,4091463.6872492633
11450,Phainopepla,PHAI,Phainopepla nitens,San Marcos Foothills Preserve,9-Apr-22,"Lewis, J.",Adult at Nest (clarify),Coast Live Oak,5,One Phainopepla perched in nest in an oak adjacent to a trail on the preserve.,"I observed two Phainopepla at and around this same tree when hiking there on May 1, 2022, however, I did not observe them nesting at that time.",34.4628,-119.75883,10,178.1,,ID4414,-13331491.97,4091115.341709304
11654,Rufous-crowned Sparrow,RCSP,Aimophila ruficeps,"San Marcos Foothills, West Mesa",19-May-22,"Mulroy, M.",Nest Building,ground,0,"At ~0645 a rufous-crowned sparrow was observed making multiple trips with nest material to a spot on the ground ~8 feet west of the main SMFP path in a stand of Stipa pulchra. On my walk back ~4 hours later I went to the spot where I had seen to sparrow going, and found a mostly completed nest on the ground against an eroded bank with overhanging grass.", ,34.45962,-119.76623,4,135.8, https://tinyurl.com/mr4873w8,ID4481,-13332315.74,4090686.000390414
11655,White-breasted Nuthatch,WBNU,Sitta carolinensis,"San Marcos Foothills, West Mesa",18-Apr-22,"Mulroy, M.",Nestling in Nest,Coast Live Oak,4,"Observed adult white-breasted nuthatch carry food into cavity of a coast live oak, and heard nestlings within cavity.", ,34.45846,-119.76581,4,132.2, ,ID4482,-13332268.98,4090529.389388686
11656,Northern Mockingbird,NOMO,Mimus polyglottos,"San Marcos Foothills, West Mesa",18-May-22,"Mulroy, M.",Carrying Fecal Sac,Lemonade Berry, ,"AK observed a Northern Mockingbird carry food into a large lemonade berry bush, and within ~30 seconds MM observed a mockingbird leave the bush with a fecal sac.","With Kreisberg, A.",34.45775,-119.76668,3,136.5, ,ID4483,-13332365.83,4090433.5337282927
11658,Blue-gray Gnatcatcher,BGGN,Polioptila caerulea,"San Marcos Foothills, East",19-May-22,"Mulroy, M.",Feeding Fledgling, , ,Observed a recently fledged blue-gray gnatcatcher being fed by an adult in a coast live oak tree., ,34.46328,-119.75655,5,172.2, https://tinyurl.com/58ncstyh,ID4485,-13331238.17,4091180.149366693
11736,Greater Roadrunner,GRRO,Geococcyx californianus,"San Marcos Foothills, East",26-May-22,"Rothstein, S.",Family Group in Close Association, , ,"3 birds seen from about 100-125 m, one bird smaller than the others but had a long tail. Small one seen begging and likely fed. Poor photo taken from 100-125 m. ",Seen With Robert Warner and Jim Childress,34.46224,-119.75215,30,129.3,https://services1.arcgis.com/4TXrdeWh0RyCqPgB/arcgis/rest/services/service_74609b938ba1424a93486ea68fa821e5/FeatureServer/0/319/attachments/187,AID399,-13330748.36,4091039.7332466403
11828,Common Raven,CORA,Corvus corax,"San Marcos Foothills, West Mesa",27-Jun-22,"Cook, S.",Family Group in Close Association, , ,Five juveniles foraging on the ground and eating rodent remains.,"[EDITOR: Regardless of the age statements, 5 birds in a group is likely a breeding event.]",34.4583,-119.76606,2,139.4,https://services1.arcgis.com/4TXrdeWh0RyCqPgB/arcgis/rest/services/service_74609b938ba1424a93486ea68fa821e5/FeatureServer/0/423/attachments/236,AID503,-13332296.81,4090507.788041958
11852,California Quail,CAQU,Callipepla californica,"San Marcos Foothills, West Mesa",23-Jul-22,"Kreisberg, A.",Fledgling under Parental Care, , ,At roughly 11:45 AM while walking south on the trail back to the Via Gaitero access an adult female California Quail was observed with seven fledgling quail. They disappeared into sage scrub as we approached. ,D. Edwards was other observer present. ,34.45788,-119.76571,2,131.6, ,AID529,-13332257.85,4090451.0847037444
11853,Ash-throated Flycatcher,ATFL,Myiarchus cinerascens,"San Marcos Foothills, West Mesa",9-Jul-22,"Mulroy, M.",Family Group in Close Association, , ,"We observed a group of at least four ash-throated flycatchers, including at least two juveniles, closely associating with 1-2 adults in coast live oaks along the drainage bottom. Juveniles were distinguishable from adults by their coloration but did not have obviously yellow gapes. ",with Aaron Kreisberg,34.45916,-119.76577,10,126.2, ,AID530,-13332264.53,4090623.895767322
11854,Ash-throated Flycatcher,ATFL,Myiarchus cinerascens,"San Marcos Foothills, Central",9-Jul-22,"Mulroy, M.",Feeding Fledgling, , ,"Family group of five AtFl closely associating with each other. Juveniles were difficult to distinguish from adults, but we observed a juvenile begging and being fed by an adult.",with Aaron Kreisberg,34.4635,-119.75668,10,177.7, ,AID531,-13331252.64,4091209.853000865
12243,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",8-Mar-23,"Holmgren, M.",Courtship or Display, , ,Pair flying together back and forth over mostly dead Euc grove. One member carrying a long shred of Eucalyptus bark., ,34.46543,-119.7607809,50,166.3, ,AID 938,-13331709.15,4091470.4382381667
12244,American Crow,AMCR,Corvus brachyrhynchos,"San Marcos Foothills, East",8-Mar-23,"Fontaine, D.",Carrying Nesting Material, , ,"Pair together, one member carrying long stick ", ,34.45836,-119.752444,20,113.7, ,AID 939,-13330781.09,4090515.888542129
12401,Hooded Oriole,HOOR,Icterus cucullatus,"San Marcos Foothills, West Mesa",23-Apr-23,"McMahon, C.",Visiting Probable Nest Site,palm,3,Male and female pair going in and out of skirt of dead fronds on palm, ,34.46481,-119.76661,5,204.9,,AID 1113,-13332358.04,4091386.7262615683
12402,Bushtit,BUSH,Psaltriparus minimus,"San Marcos Foothills, West Mesa",23-Apr-23,"McMahon, C.",Carrying Food, , ,Adult carrying food - a large moth, ,34.45953,-119.76603,50,137.1,,AID 1114,-13332293.47,4090673.849458972
12553,California Scrub-Jay,CASJ,Aphelocoma californica,"San Marcos Foothills, Cieneguitas Ck",27-Jun-23,"Holmgren, M.",Fledgling under Parental Care, , ,"At least two fledglings together in riparian, one or two adults visit.", ,34.46103,-119.7531753,15,112.5, ,AID 1279,-13330862.5,4090876.3666930674
